"","gutenberg_id","text","title","author","gutenberg_bookshelf","language"
"1",13820,"UNHAPPY FAR-OFF THINGS","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"2",13820,"","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"3",13820,"by Lord Dunsany","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"4",13820,"","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"5",13820,"","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"6",13820,"1916","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"7",13820,"","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"8",13820,"","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"9",13820,"","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"10",13820,"","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"11",13820,"","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"12",13820,"Preface","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"13",13820,"","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"14",13820,"I have chosen a title that shall show that I make no claim for this","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"15",13820,"book to be ""up-to-date."" As the first title indicates, I hoped to","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"16",13820,"show, to as many as might to read my words, something of the extent","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"17",13820,"of the wrongs that the people of France had suffered. There is no","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"18",13820,"such need any longer. The tales, so far as they went, I gather","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"19",13820,"together here for the few that seem to read my books in England.","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"20",13820,"","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"21",13820,"                                                            Dunsany.","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"22",13820,"","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"23",13820,"","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"24",13820,"","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"25",13820,"","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"26",13820,"","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"27",13820,"A Dirge Of Victory (Sonnet)","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"28",13820,"","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"29",13820,"Lift not thy trumpet, Victory, to the sky,","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"30",13820,"  Nor through battalions nor by batteries blow,","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"31",13820,"  But over hollows full of old wire go,","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"32",13820,"Where among dregs of war the long-dead lie","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"33",13820,"With wasted iron that the guns passed by.","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"34",13820,"  When they went eastwards like a tide at flow;","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"35",13820,"  There blow thy trumpet that the dead may know,","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"36",13820,"Who waited for thy coming, Victory.","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"37",13820,"","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"38",13820,"It is not we that have deserved thy wreath,","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"39",13820,"  They waited there among the towering weeds.","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"40",13820,"The deep mud burned under the thermite's breath,","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"41",13820,"  And winter cracked the bones that no man heeds:","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
"42",13820,"Hundreds of nights flamed by: the seasons passed.","Unhappy Far-Off Things","Dunsany, Lord","Fantasy","en"
